Date,Open,High,Low,Close,Adj Close,Volume
2024-06-07,173.000000,176.449997,170.100006,173.600006,173.600006,45402104
2024-06-10,176.550003,179.300003,172.000000,173.009995,173.009995,47647958
2024-06-11,175.399994,178.000000,173.660004,176.199997,176.199997,66680300
2024-06-12,176.949997,178.899994,176.210007,177.690002,177.690002,46384387
2024-06-13,178.699997,178.949997,174.550003,175.130005,175.130005,31750295
2024-06-14,175.699997,176.600006,173.199997,174.800003,174.800003,28398761
2024-06-18,176.000000,178.600006,175.050003,175.710007,175.710007,38754538
2024-06-19,176.179993,176.190002,171.330002,173.220001,173.220001,26756319
2024-06-20,173.190002,174.179993,171.699997,172.300003,172.300003,17539484
2024-06-21,172.399994,180.500000,171.600006,176.320007,176.320007,96727451
2024-06-24,176.000000,180.990005,174.330002,176.869995,176.869995,50588329
2024-06-25,177.600006,178.600006,175.080002,175.610001,175.610001,23329206
